"","X","name","type","latitude","longitude","population","year","gas","est_RFNB","gas_base","food_base","ANindex"
"3",95,"Acadia","First Nations",43.832917,-66.084223,94,1979,24.375,229.957232999803,24.375,229.957232999803,1
"12",142,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1979,24.5166666666667,190.716371212455,24.5166666666667,190.716371212455,1
"17",130,"Bear River","First Nations",44.549444444,-65.623611111,297,1979,24.375,203.521285161209,24.375,203.521285161209,1
"61",216,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1979,25.8166666666667,220.40542581707,25.8166666666667,220.40542581707,1
"72",233,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1979,24.5166666666667,228.283742793951,24.5166666666667,228.283742793951,1
"100",83,"Kingsclear","First Nations",45.950442,-66.851933,558,1979,24.375,132.77012327345,24.375,132.77012327345,1
"188",232,"Oromocto","First Nations",45.851388889,-66.463611111,452,1979,24.375,130.12552086436,24.375,130.12552086436,1
"209",303,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1979,24.375,133.764839121597,24.375,133.764839121597,1
"297",70,"Woodstock","First Nations",46.109192,-67.57747,554,1979,24.375,151.708453337125,24.375,151.708453337125,1
"360",452,"Acadia","First Nations",43.832917,-66.084223,94,1980,27.975,238.184544802983,24.375,229.957232999803,0.902487161887965
"369",499,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1980,28.8583333333333,198.943683015635,24.5166666666667,190.716371212455,0.942085181421845
"374",487,"Bear River","First Nations",44.549444444,-65.623611111,297,1980,27.975,211.748596964389,24.375,203.521285161209,0.906536373387351
"418",573,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1980,30.6416666666667,228.63273762025,25.8166666666667,220.40542581707,0.873984878424319
"429",590,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1980,28.8583333333333,236.51105459713,24.5166666666667,228.283742793951,0.886330036280509
"457",440,"Kingsclear","First Nations",45.950442,-66.851933,558,1980,27.975,140.99743507663,24.375,132.77012327345,0.925306010119538
"545",589,"Oromocto","First Nations",45.851388889,-66.463611111,452,1980,27.975,138.35283266754,24.375,130.12552086436,0.926403321884946
"566",660,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1980,27.975,141.992150924777,24.375,133.764839121597,0.92490450675108
"654",427,"Woodstock","First Nations",46.109192,-67.57747,554,1980,27.975,159.935765140305,24.375,151.708453337125,0.918565946001428
"717",809,"Acadia","First Nations",43.832917,-66.084223,94,1981,37.4583333333333,247.987299291879,24.375,229.957232999803,0.701743726850942
"726",856,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1981,37.8,208.74643750453,24.5166666666667,190.716371212455,0.734167815886876
"731",844,"Bear River","First Nations",44.549444444,-65.623611111,297,1981,37.4583333333333,221.551351453284,24.375,203.521285161209,0.708370948157612
"775",930,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1981,42.2833333333333,238.435492109146,25.8166666666667,220.40542581707,0.660510265058082
"786",947,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1981,37.8,246.313809086026,24.5166666666667,228.283742793951,0.53112566948313
"814",797,"Kingsclear","First Nations",45.950442,-66.851933,558,1981,37.4583333333333,150.800189565525,24.375,132.77012327345,0.739090641729783
"902",946,"Oromocto","First Nations",45.851388889,-66.463611111,452,1981,37.4583333333333,148.155587156435,24.375,130.12552086436,0.740886578522139
"923",1017,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1981,37.4583333333333,151.794905413672,24.375,133.764839121597,0.738433513378115
"1011",784,"Woodstock","First Nations",46.109192,-67.57747,554,1981,37.4583333333333,169.7385196292,24.375,151.708453337125,0.728059383782737
"1074",1166,"Acadia","First Nations",43.832917,-66.084223,94,1982,44.75,254.814217596645,24.375,229.957232999803,0.603570724470153
"1083",1213,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1982,46.375,215.573355809297,24.5166666666667,190.716371212455,0.66285929737081
"1088",1201,"Bear River","First Nations",44.549444444,-65.623611111,297,1982,44.75,228.37826975805,24.375,203.521285161209,0.611218550558697
"1132",1287,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1982,50.0666666666667,245.262410413912,25.8166666666667,220.40542581707,0.573799545680948
"1143",1304,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1982,46.375,253.140727390792,24.5166666666667,228.283742793951,0.541376707234637
"1171",1154,"Kingsclear","First Nations",45.950442,-66.851933,558,1982,44.75,157.627107870291,24.375,132.77012327345,0.646669135813314
"1259",1303,"Oromocto","First Nations",45.851388889,-66.463611111,452,1982,44.75,154.982505461201,24.375,130.12552086436,0.648741650313491
"1280",1374,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1982,44.75,158.621823718439,24.375,133.764839121597,0.645910808436148
