"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"70","Woodstock","First Nations","46.109192","-67.57747","554","1979","24.375","151.708453337125"
"71","Eagle Lake","First Nations","49.745","-93.055","428","1979","22.625","130.004039605718"
"72","Rainy River First Nations","First Nations","48.655","-93.906944444","561","1979","22.625","160.639550628343"
"73","Lac Des Mille Lacs","First Nations","48.965046882","-90.647195987","429","1979","22.625","233.699112660794"
"74","Wabaseemoong Independent Nations","First Nations","50.133333","-94.95","159","1979","22.625","232.075848255834"
"75","Big Grassy","First Nations","49.053956465","-94.305554548","497","1979","22.625","132.833801595006"
"76","Iskatewizaagegan #39 Independent First Nation","First Nations","49.653055556","-95.098055556","438","1979","22.625","212.47042670186"
"77","Ojibways of Onigaming First Nation","First Nations","49.176944444","-93.921111111","503","1979","22.625","203.272549127046"
"78","Grassy Narrows First Nation","First Nations","50.183055556","-94.036944444","99","1979","22.625","132.564874810931"
"79","Wabigoon Lake Ojibway Nation","First Nations","49.605","-92.523056","462","1979","22.625","154.949887720668"
"80","Ochiichagwe'babigo'ining First Nation","First Nations","49.893748992","-94.538129049","369","1979","22.625","134.409108075563"
"81","Naicatchewenin","First Nations","48.858888889","-93.578888889","376","1979","22.625","180.328525073373"
"82","Nigigoonsiminikaaning First Nation","First Nations","48.73846477","-92.925954105","319","1979","22.625","136.161740202435"
"83","Kingsclear","First Nations","45.950442","-66.851933","558","1979","24.375","132.77012327345"
"84","Shoal Lake No.40","First Nations","49.605561944","-95.132423611","433","1979","22.625","139.57484525931"
"85","Seine River First Nation","First Nations","48.718888889","-92.428055556","491","1979","22.625","192.984657586549"
"86","Lac Seul","First Nations","50.245","-92.328055556","304","1979","22.625","156.622871137901"
"87","Skuppah","First Nations","50.187988281","-121.578063965","39","1979","23.2083333333333","129.910193321707"
"88","Toosey","First Nations","51.920410156","-122.483764648","298","1979","23.2083333333333","238.741072870838"
"89","Première nation de Whapmagoostui","First Nations","55.16003418","-77.269897461","540","1979","23.95","182.318178107794"
"90","Katzie","First Nations","49.201504","-122.677245","417","1979","23.2083333333333","129.471125672037"
"91","Membertou","First Nations","46.116621","-60.195615","82","1979","25.8166666666667","285.147929086056"
"92","Yekooche First Nation","First Nations","54.600402832","-125.066101074","202","1979","23.2083333333333","163.90187198455"
"93","York Factory First Nation","First Nations","56.089782715","-96.108276367","55","1979","22.625","175.652485355216"
"94","Nisga'a Village of Laxgalt'sap","First Nations","55.037841797","-129.555786133","133","1979","23.2083333333333","140.088867616233"
"95","Acadia","First Nations","43.832917","-66.084223","94","1979","24.375","229.957232999803"
"96","Waycobah First Nation","First Nations","45.967398945","-61.135483371","555","1979","25.8166666666667","140.662960393477"
"97","Tlowitsis Tribe","First Nations","50.531982422","-125.982666016","350","1979","23.2083333333333","137.871699136868"
"98","Haisla Nation","First Nations","53.973205566","-128.648071289","141","1979","23.2083333333333","218.247368939348"
"99","Tsawwassen First Nation","First Nations","49.041920768","-123.100158446","311","1979","23.2083333333333","206.913056086197"
"100","Chawathil","First Nations","49.378888889","-121.555","426","1979","23.2083333333333","136.209406451214"
"101","Micmacs of Gesgapegiag","First Nations","48.202614179","-65.922951854","89","1979","25.8166666666667","160.691986021497"
"102","Taykwa Tagamou Nation","First Nations","49.006944444","-80.838055556","393","1979","23.95","141.379037311911"
"103","Westbank First Nation","First Nations","49.836111111","-119.608055556","516","1979","23.2083333333333","160.137026906471"
"104","Nazko First Nation","First Nations","52.954223633","-123.583618164","335","1979","23.2083333333333","130.209878582888"
"105","Beecher Bay","First Nations","48.337688","-123.606697","224","1979","23.2083333333333","128.428462432451"
"106","Première Nation Malecite de Viger","First Nations","47.917994282","-69.50759115","29","1979","24.375","130.898120965069"
"107","Cowichan","First Nations","48.776794434","-123.708312988","391","1979","23.2083333333333","129.530062427715"
"108","Eskasoni","First Nations","45.930251534","-60.6452928","364","1979","25.8166666666667","127.942977205233"
"109","Tetlit Gwich'in","First Nations","67.431213379","-134.875488281","84","1979","19.075","217.847048215478"
"110","Metlakatla","First Nations","54.33782959","-130.445373535","529","1979","23.2083333333333","133.114233459927"
"111","Fort Severn","First Nations","55.994566263","-87.61970716","453","1979","22.625","136.308534283117"
"112","Buctouche","First Nations","46.4525","-64.758611111","39","1979","25.8166666666667","128.570687841868"
"113","Sliammon","First Nations","49.897946","-124.607755","10","1979","23.2083333333333","139.439023559675"
"114","Kitselas","First Nations","54.491638184","-128.584106445","437","1979","23.2083333333333","223.483733855024"
"115","Les Innus de Ekuanitshit","First Nations","50.29083252","-64.02130127","429","1979","25.8166666666667","185.197044860546"
"116","Hupacasath First Nation","First Nations","49.265197754","-124.825500488","293","1979","23.2083333333333","204.374987682016"
"117","Kitchenuhmaykoosib Inninuwug","First Nations","53.824274134","-89.875387627","108","1979","22.625","135.465531276888"
"118","Cayoose Creek","First Nations","50.671944444","-121.935","171","1979","23.2083333333333","135.571869214238"
"119","Kitasoo","First Nations","52.583055556","-128.533055556","404","1979","23.2083333333333","187.218727660056"
"120","Ashcroft","First Nations","50.717834473","-121.311584473","256","1979","23.2083333333333","204.416112777511"
"121","Tzeachten","First Nations","49.111327","-121.956911","394","1979","23.2083333333333","223.653752964597"
"122","Quatsino","First Nations","50.61340332","-127.573669434","405","1979","23.2083333333333","133.810415979692"
"123","Nadleh Whuten","First Nations","54.076944444","-124.601111111","409","1979","23.2083333333333","155.258715448696"
"124","Skawahlook First Nation","First Nations","49.356111111","-121.606944444","524","1979","23.2083333333333","242.715469760774"
"125","Moricetown","First Nations","55.01159668","-127.322509766","172","1979","23.2083333333333","230.280700354023"
"126","Fox Lake","First Nations","56.329870819","-94.663388508","37","1979","22.625","133.394346437083"
"127","Webequie","First Nations","52.985229492","-87.282409668","530","1979","22.625","143.926219225134"
"128","Popkum","First Nations","49.208055556","-121.718055556","2","1979","23.2083333333333","133.896888956294"
"129","Atikamekw d'Opitciwan","First Nations","48.666992187","-74.948974609","265","1979","23.95","227.218919605288"
"130","Bear River","First Nations","44.549444444","-65.623611111","297","1979","24.375","203.521285161209"
"131","Huu-ay-aht First Nations","First Nations","48.800598145","-125.120666504","472","1979","23.2083333333333","135.0037627324"
"132","Nak'azdli","First Nations","54.431396484","-124.247497559","156","1979","23.2083333333333","154.684739733034"
"133","T'it'q'et","First Nations","50.68538061","-121.949795556","360","1979","23.2083333333333","142.169116437809"
"134","Shubenacadie","First Nations","45.095224","-63.489859","232","1979","24.5166666666667","158.612969924916"
"135","Hesquiaht","First Nations","49.367004395","-126.271972656","470","1979","23.2083333333333","126.186098010669"
"136","Mount Currie","First Nations","50.328055556","-122.676111111","192","1979","23.2083333333333","130.916087376605"
"137","Da'naxda'xw First Nation","First Nations","51.017211914","-125.612182617","194","1979","23.2083333333333","163.316469394698"
"138","Odanak","First Nations","46.073242187","-72.821899414","211","1979","23.8583333333333","140.639126758641"
"139","Miawpukek","First Nations","47.863441","-55.755889","281","1979","27.225","130.437861358204"
"140","Malahat First Nation","First Nations","48.614013672","-123.520202637","293","1979","23.2083333333333","133.326305344136"
"141","Kashechewan","First Nations","52.291388889","-81.652222222","1","1979","23.95","133.944695500282"
"142","Annapolis Valley","First Nations","45.065777","-64.654284","260","1979","24.5166666666667","190.716371212455"
